video_id,title,published_at,duration_seconds,view_count,like_count,comment_count
mBYYIxgJJ44,the PERFECT wedding song,2025-07-05T18:00:45Z,9.0,15262,912,26
ohONNPQhgks,easter eggs in my lyrics😋,2025-07-04T18:00:52Z,38.0,8604,844,24
428nvZEseF0,FIT CHECK w/ the best💓,2025-07-02T20:00:07Z,9.0,56808,3357,69
KvABd-DOdTw,CRAZY CLIP😭😭 but not complaining hehe,2025-07-02T18:00:16Z,22.0,25132,1575,19
LkWkSHJBN4Q,TAG ME IN YOUR DANCES🐟,2025-07-01T20:00:19Z,16.0,22380,1379,67
qE_j8YhsSFw,me and my “Thing”s creeping our way into your liked songs👏,2025-07-01T18:00:53Z,16.0,135739,7176,170
1FD1bCI_sA0,shake some WHATTTT now,2025-06-30T20:00:01Z,20.0,37577,1792,50
-Ruv_R6bh80,tag me in your dances🤩 i wanna see you baddies try this out,2025-06-30T18:00:00Z,16.0,18836,1096,54
Y73pm3PoKts,my take on this ballet trend😋,2025-06-29T20:00:31Z,12.0,57233,2656,33
Tagk5u3ZplY,i will ALWAYS be a kitchen dancer💃,2025-06-29T18:00:34Z,16.0,14485,1114,40
wzyiO9L-1Gc,anybody seen a piano👀🎹,2025-06-28T20:00:38Z,16.0,291866,13820,263
0TAqzvIdoHY,girl math at its finest💅😋,2025-06-28T18:00:01Z,10.0,26808,1567,24
5W87g5Cw_b4,no because all of yall are BADDIES,2025-06-27T20:00:03Z,14.0,217099,9229,56
CwTdVmsspL4,drop some dating horror stories in the comments💀❤️‍🩹,2025-06-27T18:00:16Z,16.0,188378,4347,142
Y8aFGCHTXlY,MY SHAYLAAA you guys have been treating her so well🫶,2025-06-26T20:00:26Z,16.0,222306,21284,229
rUHcBftR5hQ,my own hidden mickeys😋,2025-06-26T18:00:48Z,32.0,29730,1589,17
cXNWWR33rW4,tw: strobe lights and my new song😏🎹,2025-06-25T20:00:22Z,16.0,206375,8571,220
LYOyyhu5PP8,someone find my billboard🙈,2025-06-25T18:00:28Z,9.0,181158,2439,80
5SoKgbGOOwA,YALL ARE CRAZY I LOVE IT,2025-06-24T20:00:02Z,16.0,36828,2103,41
0Wkrxk0WJnk,i wanna see you BADDIES out here😋😋,2025-06-24T18:00:01Z,9.0,331294,12879,252
