video_id,title,published_at,date,time,hour,duration_seconds,view_count,like_count,comment_count,engagement_rate,has_hashtags,hashtag_count,has_emojis,emoji_count,clean_title,num_words,sentiment_polarity,sentiment,day_of_week
8naAsPTxdHg,my life literally FALLING APART 😭 #shorts #dancevideo,2022-06-05 22:00:05+00:00,2022-06-05,22:00:05,22,10.0,7545,172,5,0.02345924453280318,True,2,True,1,my life literally FALLING APART 😭,8,0.0,neutral,Sunday
_r8i59rV_ZY,Did NOT expect him to do THAT 🤣🐶 #shorts #puppy #funnydogs,2022-06-06 22:00:12+00:00,2022-06-06,22:00:12,22,15.0,2203,70,3,0.03313663186563777,True,3,True,2,Did NOT expect him to do THAT 🤣🐶,11,0.0,neutral,Monday
rPdf8Nq215M,NEW FAV DANCE 👯‍♀️ #shorts #dance,2022-06-08 22:00:18+00:00,2022-06-08,22:00:18,22,11.0,4163,137,0,0.03290895988469854,True,2,True,1,NEW FAV DANCE 👯‍♀️,6,0.13636363636363635,positive,Wednesday
jGRkmZJqG-c,this remix is TOO catchy 💃😍 #shorts #lizzo #dancer,2022-06-09 22:00:30+00:00,2022-06-09,22:00:30,22,15.0,2025,59,4,0.03111111111111111,True,3,True,2,this remix is TOO catchy 💃😍,9,0.0,neutral,Thursday
bYhAGC0ocUw,what are my hands doing LOL? 👀😂 #shorts #flexibility,2022-06-11 22:00:21+00:00,2022-06-11,22:00:21,22,5.0,24234,318,8,0.013452174630684162,True,2,True,2,what are my hands doing LOL? 👀😂,9,0.8,positive,Saturday
Wk6B4oRBWak,watch till the end 😂💘 #shorts #dance #dancer,2022-06-12 22:00:18+00:00,2022-06-12,22:00:18,22,8.0,4027,105,4,0.027067295753662776,True,3,True,2,watch till the end 😂💘,8,0.0,neutral,Sunday
h0-KmSz61jk,can other dancers relate? 🩰🥲 #shorts #dancer #ballet,2022-06-13 22:00:15+00:00,2022-06-13,22:00:15,22,15.0,10257,465,18,0.04708979233694063,True,3,True,2,can other dancers relate? 🩰🥲,8,-0.125,negative,Monday
dEBMfJofpUw,The last picture...🤣🥖,2022-06-14 22:00:14+00:00,2022-06-14,22:00:14,22,5.0,2587,68,0,0.026285272516428294,False,0,True,2,The last picture...🤣🥖,3,0.0,neutral,Tuesday
y57Df--7NnU,brb manifesting✨🔮 #shorts #goodvibes #dance,2022-06-15 22:30:07+00:00,2022-06-15,22:30:07,22,9.0,3045,97,4,0.03316912972085386,True,3,True,2,brb manifesting✨🔮,5,0.0,neutral,Wednesday
T-saR2gfpX0,ballet school...welp #shorts #ballet #dance,2022-06-16 22:30:02+00:00,2022-06-16,22:30:02,22,6.0,776061,20655,363,0.027082922605310665,True,3,False,0,ballet school...welp,5,0.0,neutral,Thursday
